,year,country_origin,recognized_decisions,complementary_protection,rejected,otherwise_closed,total_decisions,disaster_deaths,disaster_affected,conflict_deaths
0,2001,Afghanistan,18450,13729,9903,18190,60272,331,200270,864
1,2001,Algeria,639,237,8562,2698,12105,921,45423,32
2,2001,Angola,1821,1623,3143,1796,8341,48,39928,1038
3,2001,Azerbaijan,873,176,2404,1871,5324,0,0,0
4,2001,Bangladesh,644,127,4770,2172,7713,232,530150,6
5,2001,Brazil,41,0,134,284,459,98,14446,0
6,2001,Burundi,2245,591,1161,663,4660,0,0,302
7,2001,Cameroon,593,42,1811,467,2908,30,1500,0
8,2001,Canada,0,0,15,5,20,0,0,0
9,2001,Central African Republic,0,0,0,0,0,0,0,16
10,2001,Chad,195,10,347,95,647,100,175763,4
11,2001,Colombia,6689,275,6574,2137,15675,85,7732,2128
12,2001,Congo,1356,96,2523,711,4681,0,0,2
13,2001,Dem. Rep. of the Congo,13404,916,8844,2128,25246,50,26,474
14,2001,Ecuador,50,10,775,297,1132,58,9530,0
15,2001,Ethiopia,4322,642,9856,1694,16514,5,31000,0
16,2001,Ghana,164,50,1283,585,2082,12,144025,0
17,2001,Guatemala,330,5,1611,4700,6646,55,120194,0
18,2001,Guinea,439,153,2907,1348,4847,9,220000,0
19,2001,India,1764,100,9888,5913,17665,20322,19558812,433
20,2001,Indonesia,658,15,3012,442,4127,524,108694,60
21,2001,Iran,0,0,0,0,0,0,0,0
22,2001,Iraq,17934,8311,26211,16790,69224,0,0,0
23,2001,Israel,26,0,271,207,504,0,0,116
24,2001,Ivory Coast,0,0,0,0,0,0,0,0
25,2001,Jamaica,15,15,420,297,747,1,200,0
26,2001,Kenya,234,80,1221,319,1854,0,0,32
27,2001,Lebanon,286,111,1388,621,2406,0,0,0
28,2001,Liberia,2373,7559,1520,791,12243,0,0,147
29,2001,"Macedonia, FYR",0,0,0,0,0,0,0,11
30,2001,Myanmar (Burma),0,0,0,0,0,0,0,104
31,2001,Nepal,98,25,1103,341,1567,144,21019,113
32,2001,Nigeria,540,165,5553,5468,11682,200,84065,336
33,2001,Pakistan,2626,416,8539,3795,15371,242,1314983,10
34,2001,Papua New Guinea,0,0,13,0,13,0,0,0
35,2001,Peru,403,36,792,446,1677,186,374558,0
36,2001,Philippines,52,0,628,468,1148,0,0,72
37,2001,Russia (Soviet Union),0,0,0,0,0,0,0,201
38,2001,Rwanda,3860,475,1563,673,6566,2,3000,1
39,2001,Senegal,7405,0,1370,587,9362,0,0,21
40,2001,Serbia (Yugoslavia),0,0,0,0,0,0,0,0
41,2001,Sierra Leone,1956,2988,4540,3419,12893,0,0,23
42,2001,Somalia,7255,4311,6279,5259,23084,0,0,90
43,2001,Spain,0,0,10,10,20,0,0,0
44,2001,Sri Lanka,5299,8700,14085,3292,31376,0,0,44
45,2001,Sudan,5703,440,7345,3005,16488,0,0,213
46,2001,Tanzania,0,0,0,0,0,0,0,37
47,2001,Thailand,0,5,784,77,866,187,454239,0
48,2001,Turkey,4829,1361,26494,9877,42561,21,3120,2
49,2001,Uganda,302,105,1544,352,2303,11,3366,67
50,2001,United Kingdom,0,0,0,0,0,0,0,1
51,2001,United States of America,0,0,51,46,97,0,0,2862
52,2001,Venezuela,0,0,0,0,0,0,0,25
53,2001,Zambia,10,0,47,5,62,0,0,7
54,2001,Zimbabwe (Rhodesia),0,0,0,0,0,0,0,0
55,2002,Afghanistan,3620,7112,13084,16635,40453,1251,106716,171
56,2002,Algeria,792,195,10399,2643,14029,42,2305,519
57,2002,Angola,1723,2360,9952,1191,15226,0,0,97
58,2002,Bangladesh,574,288,4303,2744,7909,741,1650400,0
59,2002,Brazil,44,0,216,263,523,91,3000,7
60,2002,Burundi,1543,704,1130,841,3946,0,0,614
61,2002,Central African Republic,0,0,0,0,0,1,750,42
62,2002,Chad,193,895,406,53,1547,0,0,3
63,2002,Colombia,9061,2287,11030,4764,27142,135,113013,1215
64,2002,Congo,1543,211,5025,695,7474,0,0,49
65,2002,Dem. Rep. of the Congo,8657,942,13333,3290,26230,240,112940,4617
66,2002,Ethiopia,2629,498,4799,6997,14923,22,4000,35
67,2002,Georgia,430,72,4953,3469,8924,6,19156,0
68,2002,Ghana,92,22,1138,720,1972,4,2000,0
69,2002,Guatemala,279,0,1503,5614,7396,70,1974,2
70,2002,Honduras,53,0,307,444,804,10,969,0
71,2002,India,1869,62,10585,6998,19514,715,42013300,900
72,2002,Indonesia,740,21,3946,757,5464,254,599717,286
73,2002,Iraq,9487,15219,41678,16550,82934,0,0,0
74,2002,Israel,83,5,546,278,912,0,0,340
75,2002,Ivory Coast,0,0,0,0,0,0,0,392
76,2002,Jamaica,65,15,1028,496,1604,13,26500,0
77,2002,Kenya,436,60,1185,254,1935,85,175008,13
78,2002,Laos,0,0,0,0,0,0,0,4
79,2002,Lebanon,243,76,1933,679,2931,0,0,0
80,2002,Liberia,1871,45,1802,2160,5878,0,0,1812
81,2002,Madagascar (Malagasy),0,0,0,0,0,0,0,6
82,2002,Mali,50,0,4535,157,4742,2,22519,0
83,2002,Mexico,358,0,9083,8653,18094,43,516030,0
84,2002,Myanmar (Burma),0,0,0,0,0,0,0,264
85,2002,Namibia,0,0,5,0,5,0,0,0
86,2002,Nepal,159,0,1137,320,1616,532,266065,390
87,2002,Nigeria,595,164,9259,7355,17373,0,0,114
88,2002,Pakistan,2511,232,8826,3225,14794,185,158893,127
89,2002,Papua New Guinea,0,0,13,0,13,41,5644,0
90,2002,Peru,355,10,1010,410,1785,82,97550,1
91,2002,Philippines,62,0,466,396,924,0,0,110
92,2002,Russia (Soviet Union),0,0,0,0,0,0,0,365
93,2002,Senegal,67,0,1092,128,1287,28,179000,36
94,2002,Sierra Leone,2143,1498,7288,2806,13734,0,0,1
95,2002,Somalia,7510,4254,10057,7081,28902,0,0,32
96,2002,South Africa,43,0,394,160,597,42,104066,2
97,2002,Spain,0,0,15,0,15,6,50,2
98,2002,Sri Lanka,5869,4963,15748,1944,28524,2,500000,4
99,2002,Sudan,11959,514,10758,3008,26239,0,0,780
100,2002,Thailand,0,5,909,66,980,190,3350124,0
101,2002,Tunisia,169,10,419,226,824,0,0,20
102,2002,Turkey,5764,1125,31515,9032,47436,76,255327,1
103,2002,Uganda,571,135,1591,258,2555,96,655760,637
104,2002,United Kingdom,0,0,0,0,0,0,0,1
105,2002,Venezuela,0,0,0,0,0,0,0,20
106,2003,Afghanistan,3730,3644,26921,13405,47643,112,4354,67
107,2003,Algeria,767,167,9634,2639,13212,2290,210511,58
108,2003,Angola,1842,1524,7709,967,12042,15,825,59
109,2003,Bangladesh,683,491,4658,1876,7708,430,553125,0
110,2003,Brazil,62,0,340,330,732,255,205981,6
111,2003,Burundi,2322,753,1516,1225,5816,0,0,364
112,2003,Cambodia (Kampuchea),0,0,0,0,0,0,0,1
113,2003,Central African Republic,0,0,0,0,0,0,0,6
114,2003,Chad,389,411,797,217,1814,0,0,0
115,2003,Colombia,9731,1015,13632,6736,31118,80,40531,372
116,2003,Congo,1545,1222,5759,458,8987,0,0,17
117,2003,Dem. Rep. of the Congo,9304,1268,18987,3397,32956,29,23454,3072
118,2003,Ecuador,96,40,1208,309,1653,0,0,0
119,2003,Eritrea,3257,372,4767,23849,32245,0,0,0
120,2003,Ethiopia,2839,393,6139,2862,12233,119,110000,511
121,2003,Honduras,79,5,463,550,1097,7,3000,18
122,2003,India,1413,48,11393,5741,18490,611,8095239,710
123,2003,Indonesia,672,3114,4576,2393,10755,512,666073,219
124,2003,Iran,0,0,0,0,0,0,0,0
125,2003,Iraq,3042,7920,22109,7066,40121,0,0,467
126,2003,Israel,184,0,871,301,1356,0,0,227
127,2003,Ivory Coast,0,0,0,0,0,0,0,436
128,2003,Jamaica,140,16,2229,469,2854,0,0,0
129,2003,Kenya,490,46,1363,225,2124,40,60000,0
130,2003,Laos,0,0,0,0,0,0,0,5
131,2003,Lebanon,335,91,2362,735,3523,0,0,0
132,2003,Liberia,14899,158,2915,1364,19340,0,0,1960
133,2003,Morocco,30,20,557,204,811,35,10000,34
134,2003,Myanmar (Burma),0,0,0,0,0,0,0,211
135,2003,Nepal,214,10,1157,256,1637,239,59254,248
136,2003,Nigeria,786,92,11292,3828,15988,16,210000,128
137,2003,Pakistan,2966,209,11707,2945,17811,266,1266243,194
138,2003,Peru,570,20,1311,569,2470,361,1905350,2
139,2003,Philippines,63,0,676,796,1535,0,0,137
140,2003,Russia (Soviet Union),0,0,0,0,0,0,0,84
141,2003,Saudi Arabia,54,0,25,21,100,12,50,26
142,2003,Senegal,88,0,856,123,1067,8,7769,0
143,2003,Somalia,9591,3273,12282,2836,27982,1,300,34
144,2003,Spain,0,0,5,10,15,5,200,0
145,2003,Sri Lanka,3694,2009,12648,1426,19759,235,695000,1
146,2003,Sudan,10259,206,6067,1346,17865,0,0,1869
147,2003,Thailand,5,5,749,91,850,9,107700,1
148,2003,Turkey,5817,852,34259,6191,47114,178,290522,59
149,2003,Uganda,511,174,1943,241,2869,25,2200,696
150,2003,United Kingdom,0,0,0,0,0,0,0,1
151,2003,Venezuela,0,0,0,0,0,0,0,23
152,2003,Yemen (North Yemen),0,0,0,0,0,0,0,0
153,2003,Zimbabwe (Rhodesia),0,0,0,0,0,0,0,0
154,2004,Afghanistan,3316,2424,15767,13382,34889,18,3040,77
155,2004,Algeria,480,141,8568,2613,11802,3,27545,95
156,2004,Angola,986,1053,5623,671,8333,28,333700,13
157,2004,Azerbaijan,805,237,4984,975,7001,0,0,3
158,2004,Bangladesh,731,462,5464,2951,9608,847,36888750,25
159,2004,Bhutan,15,107,96,101,319,0,0,0
160,2004,Brazil,114,0,780,1248,2142,39,155314,6
161,2004,Burundi,1707,746,1324,2314,6091,3,120,259
162,2004,Cameroon,1333,196,4602,865,6996,0,0,0
163,2004,Central African Republic,0,0,0,0,0,3,12698,23
164,2004,Chad,345,15,855,88,1303,0,0,28
165,2004,Colombia,9501,126,12096,5557,27280,116,531984,296
166,2004,Dem. Rep. of the Congo,8853,805,17523,3442,30623,0,0,735
167,2004,Egypt,533,25,970,378,1906,0,0,34
168,2004,Ethiopia,2526,455,5532,2009,10522,0,0,243
169,2004,Georgia,953,110,6829,3755,11647,1,90,3
170,2004,Guatemala,404,0,2399,32165,34968,0,0,1
171,2004,Haiti,2424,5,8447,4022,14898,5422,353377,16
172,2004,Honduras,101,0,472,534,1107,0,0,28
173,2004,India,1012,26,8900,7074,17012,17704,33855512,400
174,2004,Indonesia,1115,11627,2143,1187,16072,165917,714154,93
175,2004,Iraq,1540,3676,25443,10908,41567,0,0,281
176,2004,Israel,159,0,777,297,1233,0,0,99
177,2004,Ivory Coast,0,0,0,0,0,0,0,61
178,2004,Kenya,382,52,1052,268,1754,134,2312000,0
179,2004,Laos,0,0,0,0,0,0,0,4
180,2004,Mali,50,0,1645,555,2250,0,0,0
181,2004,Mexico,769,0,3169,11658,15596,38,4090,2
182,2004,Mozambique,10,5,25,5,45,0,0,0
183,2004,Myanmar (Burma),0,0,0,0,0,0,0,104
184,2004,Nepal,308,10,1031,318,1667,185,800015,271
185,2004,Niger,51,5,371,112,539,0,0,0
186,2004,Nigeria,904,257,15185,4165,20511,94,13900,61
187,2004,Pakistan,2491,245,13266,3788,19790,24,13148,92
188,2004,Peru,639,20,1307,479,2445,101,2137543,0
189,2004,Philippines,77,5,940,537,1559,0,0,139
190,2004,Qatar,0,0,15,5,20,0,0,0
191,2004,Russia (Soviet Union),0,0,0,0,0,0,0,519
192,2004,Rwanda,2743,111,1392,5941,10187,0,0,0
193,2004,Saudi Arabia,19,5,75,15,114,5,430,32
194,2004,Senegal,117,5,618,181,921,0,0,0
195,2004,Somalia,7590,4170,11051,3397,26208,298,105083,20
196,2004,South Africa,25,0,521,88,634,0,0,0
197,2004,Spain,0,0,20,22,42,3,1100,191
198,2004,Sri Lanka,2349,1130,7837,1135,12451,35405,1219306,7
199,2004,Sudan,4046,449,4623,1975,11093,0,0,6074
200,2004,Syria,0,0,0,0,0,0,0,7
201,2004,Thailand,0,0,242,67,309,8362,578117,40
202,2004,Turkey,4520,869,26855,6455,38699,61,56122,13
203,2004,Uganda,441,127,1334,246,2148,0,0,813
204,2004,United Kingdom,0,0,0,0,0,0,0,1
205,2004,Uzbekistan,287,98,1626,297,2308,0,0,2
206,2004,Venezuela,0,0,0,0,0,0,0,30
