year,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,country_origin,country_origin(ISO),region,continent,location,total_deaths,total_affected,geo_locations
2001,Natural,Meteorological,Extreme temperature,Cold wave,Afghanistan,AFG,Southern Asia,Asia,"Hirat, Faryab, Jawzjan, Balkh, Samangan, Sar-e-Pul, Kunduz, Baghlan provinces",150.0,100000.0,"Baghlan, Balkh, Faryab, Hirat, Jawzjan, Kunduz, Samangan, Sar-e-Pul (Adm1)."
2001,Natural,Hydrological,Flood,Riverine flood,Bolivia (Plurinational State of),BOL,South America,Americas,"Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Pando, Potosi, Santa Cruz, Tarija provinces",41.0,357250.0,"Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Pando, Potosi, Santa Cruz, Tarija (Adm1)."
2001,Natural,Meteorological,Storm,Convective storm,China,CHN,Eastern Asia,Asia,"Xilin Gol, Xing'an, Hulunbuir, Ulaan Chab, Chifeng, Tongliao districts (Nei Mongol Zizhiqu province)",49.0,2574871.0,"Chifeng, Hulunbuir, Tongliao, Ulaan Chab, Xilin Gol, Xing'an (Adm2)."
2001,Natural,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,"Yajiang Xian, Kangding Xian areas (Garze Tibetan district, Sichuan Sheng province)",3.0,300109.0,Garzê Tibetan (Adm2).
2001,Natural,Hydrological,Flood,Flash flood,Indonesia,IDN,South-Eastern Asia,Asia,"Bogor district (Jawa Barat province), Bojonegoro, Jember, Kota Jember districts (Jawa Timur province), Kota Gorontalo district (Gorontalo province), Lebak, Pandeglang, Tangerang districts (Banten province), Dki Jakarta province",130.0,80000.0,"Dki Jakarta (Adm1). Bogor, Bojonegoro, Jember, Kota Gorontalo, Kota Jember, Lebak, Pandeglang, Tangerang (Adm2)."
2001,Natural,Geophysical,Earthquake,Ground movement,Guatemala,GTM,Central America,Americas,Jutapia province,6.0,152.0,Jutiapa (Adm1).
2001,Natural,Hydrological,Landslide,Landslide,Indonesia,IDN,South-Eastern Asia,Asia,"Cipanas village (Lebak district, Banten province)",122.0,23000.0,Lebak (Adm2).
2001,Natural,Geophysical,Earthquake,Ground movement,India,IND,Southern Asia,Asia,"Ahmadabad, Amreli, Anand, Banas Kantha, Bharuch, Bhavnagar, Dahdod, Gandhinagar, Jamnagar, Junagadh, Kachchh, Kheda, Mahesana, Navsari, Patan, Porbandar, Rajkot, Sabar Kantha, Surat, Surendranagar, Vadodara districts (Gurajat province)",20005.0,6321812.0,"Ahmadabad, Amreli, Anand, Banas Kantha, Bharuch, Bhavnagar, Dahod, Gandhinagar, Jamnagar, Junagadh, Kachchh, Kheda, Mahesana, Navsari, Patan, Porbandar, Rajkot, Sabar Kantha, Surat, Surendranagar, Vadodara (Adm2)."
2001,Natural,Meteorological,Extreme temperature,Cold wave,Kazakhstan,KAZ,Central Asia,Asia,"Ust Kamenogorsk area (Ulan district, Vostochno-kazachstanskaya province)",3.0,12.0,Ulan (Adm2).
2001,Natural,Hydrological,Flood,Coastal flood,Mozambique,MOZ,Eastern Africa,Africa,"Nhacolo town (Tambara district, Manica province), Nova Mambone area (Govuro district, Inhambane province), Nicoadala, Namacurra, Pebane, Chinde, Maganja da Costa, Morrumbala, Mopeia, Cidade de Quelimane districts (Zambezia province), Cidade da Beira, Buzi, Chibabava, Dondo, Marromeu, Nhamatanda, Caia, Chemba districts (Sofala province),Mutarara, Zumbo, Magoe, Macanga, Cidad de Tete districts (Tete province), Massangena district (Gaza province)",79.0,549326.0,"Buzi, Caia, Chemba, Chibabava, Chinde, Cidade da Beira, Cidade de Quelimane, Cidade de Tete, Dondo, Govuro, Macanga, Maganja da Costa, Magoe, Marromeu, Massangena, Mopeia, Morrumbala, Mutarara, Namacurra, Nhamatanda, Nicoadala, Pebane, Tambara, Zumbu (Adm2)."
