,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Female total,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other,Male total
2142,2001,China,CHN,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2444,2001,Belarus,BLR,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2001,Cote d'Ivoire,CIV,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,2001,Croatia,HRV,Portugal,PRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1431,2001,Tunisia,TUN,Lebanon,LBN,0,0,0,7,0,0,7,0,0,0,13,0,0,13
2541,2001,Dem. Rep. of the Congo,COD,Zambia,ZMB,36,96,82,348,0,22631,23193,44,115,99,482,0,24842,25582
578,2001,Slovakia,SVK,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2158,2001,Gambia,GMB,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,2001,Iraq,IRQ,Saudi Arabia,SAU,297,416,357,569,51,0,1690,293,417,365,2285,41,0,3401
2410,2001,Ethiopia,ETH,Ukraine,UKR,0,0,0,0,0,0,0,0,0,0,35,0,0,35
2393,2001,Dem. Rep. of the Congo,COD,Uganda,UGA,817,728,623,1479,88,0,3735,786,787,677,1531,97,0,3878
2491,2001,Nicaragua,NIC,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2128,2001,Angola,AGO,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,2001,Rwanda,RWA,Ghana,GHA,0,0,0,9,0,0,9,0,0,0,21,0,0,21
1582,2001,Dem. Rep. of the Congo,COD,Mauritius,MUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636,2001,Jordan,JOR,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,2001,Angola,AGO,Dem. Rep. of the Congo,COD,9517,8980,7702,21758,1788,0,49745,8648,9167,7863,16477,1473,0,43628
1910,2001,Iraq,IRQ,Portugal,PRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,2001,Turkmenistan,TKM,Russian Federation,RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1417,2001,Egypt,EGY,Lebanon,LBN,0,0,0,6,0,0,6,0,0,0,11,0,0,11
1727,2001,Bolivia (Plurinational State of),BOL,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991,2001,Slovakia,SVK,France,FRA,0,0,0,0,0,32,32,0,0,0,0,0,34,34
194,2001,Colombia,COL,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719,2001,Armenia,ARM,Czechia,CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2133,2001,Bahrain,BHR,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2146,2001,Dem. Rep. of the Congo,COD,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2354,2001,Cameroon,CMR,Togo,TGO,0,0,0,0,0,0,0,0,0,0,6,0,0,6
634,2001,Iran (Islamic Rep. of),IRN,China,CHN,0,0,0,0,0,0,0,5,0,0,5,0,0,10
1736,2001,Cuba,CUB,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,2001,Mali,MLI,Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643,2001,Croatia,HRV,Chile,CHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2499,2001,El Salvador,SLV,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,2001,Dem. Rep. of the Congo,COD,Comoros,COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
964,2001,Latvia,LVA,France,FRA,0,0,0,0,0,20,20,0,0,0,0,0,20,20
2234,2001,Albania,ALB,Switzerland,CHE,0,0,0,0,0,55,55,0,0,0,0,0,60,60
2070,2001,Romania,ROU,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
