Unnamed: 0,year,country_origin,country_asylum,share_borders,female_0to4,female_5to11,female_12to17,female_18to59,female_60,female_other,Female total,male_0to4,male_5to11,male_12to17,male_18to59,unknown_demographic,male_60,male_other,Male total,total,recognized_decisions,complementary_protection,rejected,otherwise_closed,total_decisions
41,2001,Afghanistan,Pakistan,1,122591,174858,149878,327785,23976,0,799088,120689,174524,149590,236912,688787,28231,0,709946,2197821,,,,,
14582,2007,Afghanistan,Pakistan,1,39470,110048,65010,184393,10725,0,409646,41540,117812,78713,217420,1147750,21535,0,477020,2034416,505.0,0.0,662.0,335.0,1502.0
22716,2010,Afghanistan,Pakistan,1,121141,215640,136563,387758,22770,0,883872,127760,226483,159785,457242,0,44700,0,1015970,1899842,261.0,0.0,309.0,558.0,1128.0
17234,2008,Afghanistan,Pakistan,1,33020,96060,57501,159375,9411,0,355367,34631,102122,68555,185469,1015215,18791,0,409568,1780150,374.0,0.0,491.0,262.0,1127.0
19952,2009,Afghanistan,Pakistan,1,22251,99856,56422,163878,9456,0,351863,23687,105475,66314,192329,981319,18948,0,406753,1739935,380.0,0.0,122.0,1022.0,1524.0
25558,2011,Afghanistan,Pakistan,1,133307,185475,126590,335856,21225,0,802453,141589,196307,149297,370846,0,41453,0,899492,1701945,395.0,0.0,282.0,674.0,1351.0
28451,2012,Afghanistan,Pakistan,1,100102,183165,123261,341175,20961,0,768664,105902,192107,143552,386622,0,40893,0,869076,1637740,1653.0,0.0,374.0,206.0,2233.0
31374,2013,Afghanistan,Pakistan,1,67222,187222,136386,345468,20909,0,757207,70831,195963,156567,394259,0,41049,0,858669,1615876,2117.0,0.0,638.0,229.0,2984.0
37504,2015,Afghanistan,Pakistan,1,53930,178779,140572,340967,18741,0,732989,58377,189436,153477,388708,0,37605,0,827603,1560592,2439.0,0.0,4229.0,1173.0,7841.0
34368,2014,Afghanistan,Pakistan,1,47535,173084,133321,335907,17977,0,707824,50449,182043,148213,379350,0,37033,0,797088,1504912,2038.0,0.0,4038.0,248.0,6324.0
57665,2021,Afghanistan,Pakistan,1,115419,154993,91232,284474,20654,10616,677388,122145,162676,97102,304532,0,29293,97426,813174,1490562,5.0,0.0,0.0,16.0,21.0
25,2001,Afghanistan,Iran (Islamic Rep. of),1,68918,127037,108889,248624,16065,0,569533,73877,145845,125010,539272,0,28463,0,912467,1482000,,,,,
54170,2020,Afghanistan,Pakistan,1,49878,147686,110534,332525,26595,0,667218,53559,156817,117680,397836,0,45322,0,771214,1438432,5.0,0.0,0.0,17.0,22.0
50723,2019,Afghanistan,Pakistan,1,63659,149878,105232,314305,24977,0,658051,67573,159642,111175,379460,0,43183,0,761033,1419084,21.0,0.0,0.0,133.0,154.0
47315,2018,Afghanistan,Pakistan,1,79321,145957,102855,298172,24715,0,651020,83570,156092,109075,361376,0,42388,0,752501,1403521,0.0,0.0,0.0,65.0,65.0
43984,2017,Afghanistan,Pakistan,1,94088,139099,103744,285690,23853,0,646474,99127,148633,111824,345812,0,40740,0,746136,1392610,0.0,0.0,1495.0,2127.0,3622.0
40736,2016,Afghanistan,Pakistan,1,75289,136768,109143,282595,24361,0,628156,80328,145907,118291,338108,0,41370,0,724004,1352160,1210.0,0.0,3455.0,3115.0,7780.0
7049,2004,Afghanistan,Pakistan,1,78774,111502,95574,202345,20280,0,508475,76652,109350,93729,154047,330367,17788,0,451566,1290408,121.0,0.0,3444.0,4410.0,7975.0
2259,2002,Afghanistan,Pakistan,1,100629,143189,122734,263478,19486,0,649516,98099,141385,121188,193438,0,22943,0,577053,1226569,,,,,
4614,2003,Afghanistan,Pakistan,1,92591,129841,111294,238886,22472,0,595084,89893,127058,108908,180455,0,22249,0,528563,1123647,352.0,0.0,1408.0,5820.0,7580.0
2243,2002,Afghanistan,Iran (Islamic Rep. of),1,0,0,0,0,0,0,0,0,0,0,0,1104909,0,0,0,1104909,,,,,
9518,2005,Afghanistan,Pakistan,1,0,0,0,0,0,531262,531262,0,0,0,0,0,0,552946,552946,1084208,327.0,0.0,3014.0,2508.0,5849.0
12026,2006,Afghanistan,Pakistan,1,0,0,0,0,0,520112,520112,0,0,0,0,0,0,523872,523872,1043984,284.0,0.0,1528.0,766.0,2578.0
22700,2010,Afghanistan,Iran (Islamic Rep. of),1,0,0,0,0,0,0,0,0,0,0,0,1027577,0,0,0,1027577,89.0,0.0,16.0,32.0,137.0
19937,2009,Afghanistan,Iran (Islamic Rep. of),1,20,82928,100414,269263,15718,0,468343,20,88548,111047,329475,0,25061,0,554151,1022494,86.0,0.0,84.0,36.0,206.0
7035,2004,Afghanistan,Iran (Islamic Rep. of),1,31495,44526,139274,194180,11426,0,420901,33853,49405,153362,275828,0,19453,0,531901,952802,5.0,0.0,21.0,0.0,26.0
37483,2015,Afghanistan,Iran (Islamic Rep. of),1,1807,2463,2692,6149,586,0,13697,1921,2473,2874,6135,923180,862,0,14265,951142,,,,,
40714,2016,Afghanistan,Iran (Islamic Rep. of),1,1807,2463,2692,6149,586,0,13697,1921,2473,2874,6135,923180,862,0,14265,951142,0.0,0.0,0.0,26.0,26.0
43959,2017,Afghanistan,Iran (Islamic Rep. of),1,1787,2476,2714,6150,605,0,13732,1902,2494,2830,6143,923162,879,0,14248,951142,0.0,0.0,0.0,5.0,5.0
47290,2018,Afghanistan,Iran (Islamic Rep. of),1,1811,2504,2750,6195,626,0,13886,1920,2524,2865,6794,922256,897,0,15000,951142,,,,,
50699,2019,Afghanistan,Iran (Islamic Rep. of),1,0,0,0,0,0,0,0,0,0,0,0,951142,0,0,0,951142,,,,,
34348,2014,Afghanistan,Iran (Islamic Rep. of),1,1905,2499,2758,6537,555,0,14254,2004,2525,2951,6619,920812,835,0,14934,950000,5.0,0.0,0.0,0.0,5.0
17221,2008,Afghanistan,Iran (Islamic Rep. of),1,26,77229,90474,246387,14388,0,428504,26,86010,96634,301487,0,22934,0,507091,935595,73.0,0.0,55.0,135.0,263.0
9504,2005,Afghanistan,Iran (Islamic Rep. of),1,18932,44332,138662,192197,9204,0,403327,19196,49071,152329,277920,0,18405,0,516921,920248,0.0,0.0,34.0,43.0,77.0
12013,2006,Afghanistan,Iran (Islamic Rep. of),1,32349,111685,8060,202036,11888,0,366018,34535,121070,89819,282660,0,20158,0,548242,914260,11.0,10.0,36.0,81.0,138.0
14568,2007,Afghanistan,Iran (Islamic Rep. of),1,0,0,0,0,0,397133,397133,0,0,0,0,0,0,508938,508938,906071,5.0,5.0,164.0,155.0,329.0
25542,2011,Afghanistan,Iran (Islamic Rep. of),1,0,0,0,0,0,0,0,0,0,0,0,840451,0,0,0,840451,105.0,0.0,175.0,1055.0,1335.0
4599,2003,Afghanistan,Iran (Islamic Rep. of),1,33170,32142,100541,140975,8293,0,315121,41464,36369,112898,306824,5438,16585,0,514140,834699,,,,,
28437,2012,Afghanistan,Iran (Islamic Rep. of),1,1853,2523,2707,6129,609,0,13821,1931,2495,2880,6294,795824,842,0,14442,824087,69.0,0.0,216.0,123.0,408.0
31356,2013,Afghanistan,Iran (Islamic Rep. of),1,1799,2450,2680,6089,538,0,13556,1906,2467,2891,6240,786134,821,0,14325,814015,11.0,0.0,10.0,0.0,21.0
169,2001,Angola,Zambia,1,0,5,0,9,6,9911,9931,0,8,0,12,195607,5,12591,12616,218154,10.0,0.0,0.0,0.0,10.0
2390,2002,Angola,Zambia,1,2145,2885,2472,4475,195,30,12202,2284,2844,2438,5432,162862,345,29,13372,188436,5.0,0.0,0.0,0.0,5.0
142,2001,Angola,Dem. Rep. of the Congo,1,9517,8980,7702,21758,1788,0,49745,8648,9167,7863,16477,93506,1473,0,43628,186879,10.0,195.0,37.0,0.0,242.0
2363,2002,Angola,Dem. Rep. of the Congo,1,9487,9121,7818,17835,1476,0,45737,10479,8967,7685,16583,93472,1278,0,44992,184201,221.0,0.0,73.0,95.0,389.0
4744,2003,Angola,Zambia,1,7470,7465,6398,13609,1820,0,36762,6721,7047,6041,13287,87000,2036,0,35132,158894,0.0,0.0,0.0,73.0,73.0
12125,2006,Angola,Dem. Rep. of the Congo,1,7701,18822,0,30505,4484,0,61512,7530,19710,0,24429,15000,4114,0,55783,132295,,,,,
