,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO)
100,2001,Brazil,BRA,Australia,AUS
669,2001,Sudan,SDN,Dem. Rep. of the Congo,COD
815,2001,Tunisia,TUN,Denmark,DNK
2302,2001,Slovakia,SVK,Switzerland,CHE
338,2001,Myanmar,MMR,Bangladesh,BGD
1498,2001,Burundi,BDI,Mali,MLI
471,2001,Bosnia and Herzegovina,BIH,Canada,CAN
1292,2001,Eritrea,ERI,Iraq,IRQ
774,2001,Gambia,GMB,Denmark,DNK
1247,2001,Bulgaria,BGR,Ireland,IRL
1514,2001,Philippines,PHL,Malaysia,MYS
2170,2001,Indonesia,IDN,Sweden,SWE
1252,2001,Dem. Rep. of the Congo,COD,Ireland,IRL
1955,2001,Pakistan,PAK,South Africa,ZAF
1447,2001,Congo,COG,Madagascar,MDG
2409,2001,Dem. Rep. of the Congo,COD,Ukraine,UKR
2306,2001,Turkmenistan,TKM,Switzerland,CHE
1294,2001,Iran (Islamic Rep. of),IRN,Iraq,IRQ
448,2001,Sri Lanka,LKA,Cambodia,KHM
813,2001,Tajikistan,TJK,Denmark,DNK
912,2001,Egypt,EGY,France,FRA
1291,2001,Iraq,IRQ,Iran (Islamic Rep. of),IRN
1542,2001,Iran (Islamic Rep. of),IRN,Morocco,MAR
503,2001,Germany,DEU,Canada,CAN
2004,2001,Angola,AGO,Senegal,SEN
242,2001,Somalia,SOM,Burundi,BDI
562,2001,Poland,POL,Canada,CAN
778,2001,Guatemala,GTM,Denmark,DNK
1487,2001,Pakistan,PAK,Mexico,MEX
411,2001,United Rep. of Tanzania,TZA,Brazil,BRA
1790,2001,Afghanistan,AFG,New Zealand,NZL
1431,2001,Tunisia,TUN,Lebanon,LBN
1350,2001,Rwanda,RWA,Italy,ITA
1589,2001,Tibetan,TIB,Nepal,NPL
2193,2001,Malawi,MWI,Sweden,SWE
1257,2001,Palestinian,PSE,Ireland,IRL
2520,2001,Tajikistan,TJK,Uzbekistan,UZB
2493,2001,Pakistan,PAK,United States of America,USA
974,2001,Niger,NER,France,FRA
360,2001,Cuba,CUB,Bolivia (Plurinational State of),BOL
226,2001,Syrian Arab Rep.,SYR,Austria,AUT
1772,2001,Serbia and Kosovo: S/RES/1244 (1999),SRB,Norway,NOR
1947,2001,Dem. Rep. of the Congo,COD,South Africa,ZAF
636,2001,Viet Nam,VNM,China,CHN
