,Year,Conflict name,Dyad name,Where coordinates,Where description,Latitude,Longitude,Country of origin,Region,Deaths civilians
70187,2001,Israel: Palestine,Government of Israel - PIJ,Jenin town,"Jenin, West Bank",32.459433000000004,35.300857,Israel,Middle East,0
44244,2001,AUC - Civilians,AUC - Civilians,Puerto Lleras municipality,"DEPARTMENT: META
MUNICIPALITY: PUERTO LLERAS",3.0,-72.5,Colombia,Americas,0
40993,2001,Colombia: Government,Government of Colombia - FARC,Arauca department,"near Paez, about 280 kilometers (175 miles) northwest of Bogota, Arauca provinces",6.666667,-71.0,Colombia,Americas,0
53148,2001,India: Government,Government of India - PWG,Warangal district,Kothaguda forest in Warangal district,17.940756,79.85692900000002,India,Asia,0
109424,2001,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,Trincomalee town,"Trincomalee town (Pahalathotam army position, near)",8.5711,81.2335,Sri Lanka,Asia,0
61823,2001,Kashmir insurgents - Civilians,Kashmir insurgents - Civilians,Rajouri district,Rajouri district,33.25,74.25,India,Asia,1
41156,2001,Colombia: Government,Government of Colombia - FARC,Cundinamarca department,Cundinamarca,5.0,-74.166667,Colombia,Americas,0
64252,2001,Government of Indonesia - Civilians,Government of Indonesia - Civilians,Kluet Utara village,"Kluet Utara district, South Aceh",3.122101,97.340853,Indonesia,Asia,4
177942,2001,Government of Venezuela - Civilians,Government of Venezuela - Civilians,Ciudad Guayana town,"San FÃ©lix, Edo. BolÃ­var",8.35122,-62.64102,Venezuela,Americas,0
44298,2001,AUC - Civilians,AUC - Civilians,Zulia municipality,"village of El Salto in the municipality of El Zulia, Norte de Santander",8.065430000000001,-72.65986,Colombia,Americas,5
41006,2001,Colombia: Government,Government of Colombia - FARC,BelÃ©n de Los Andaquies town,"town of Belen de los Andaquies, 254 miles (410 kilometers) south of the capital Bogota, Caqueta province",1.41828,-75.87753000000002,Colombia,Americas,0
59405,2001,India: Assam,Government of India - ULFA,South Garo Hills district,Dumkasol,25.322202,90.454772,India,Asia,0
36593,2001,Burundi: Government,Government of Burundi - Palipehutu-FNL,Nyambuye village,"Nyambuye village, Isale commune, Bujumbura Rural province",-3.3773,29.4185,Burundi,Africa,0
42833,2001,Colombia: Government,Government of Colombia - ELN,PÃ¡rraga village,"DEPARTMENT: CAUCA
MUNICIPALITY: ROSAS
PÃ¡rraga police inspection",2.23102,-76.78898000000002,Colombia,Americas,0
37487,2001,CNDD-FDD  - Civilians,CNDD-FDD  - Civilians,Mitakataka town,"Mitakataka town, Bubanza province",-3.136111,29.365278000000004,Burundi,Africa,10
85128,2001,Government of Myanmar (Burma) - Civilians,Government of Myanmar (Burma) - Civilians,Zayatkyi town,"Zayatkyi town (near, Play-has-loh area)",18.716667,96.533333,Myanmar (Burma),Asia,1
72128,2001,Marakwet - Pokot,Marakwet - Pokot,West Pokot district,Kaben village,1.416667,35.25,Kenya,Africa,0
98799,2001,Philippines: Government,Government of Philippines - CPP,Samar island,Samar island,12.0,125.0,Philippines,Asia,0
85113,2001,Government of Myanmar (Burma) - Civilians,Government of Myanmar (Burma) - Civilians,Mong Keung township,"Mong Keung Township (Naa Loi near Khur Weet village in Waang Murng tract, in)",21.607778,97.530556,Myanmar (Burma),Asia,0
33710,2001,Angola: Government,Government of Angola - UNITA,Chicala town,Chicala town (village),-12.8,17.066667000000002,Angola,Africa,0
109337,2001,Spain: Basque,Government of Spain - ETA,Leitza town,Leiza town,43.08333,-1.91667,Spain,Europe,0
33709,2001,Angola: Government,Government of Angola - UNITA,Malanje municipality,Malanje municipality,-9.5,16.333333,Angola,Africa,0
