source,target,value
Dem. Rep. of the Congo,Angola,11933
Rwanda,Angola,177
Palestinian,Egypt,134
Somalia,Egypt,1177
Sudan,Egypt,4659
Azerbaijan,Armenia,264327
Afghanistan,Azerbaijan,243
Dem. Rep. of the Congo,Burundi,26670
Rwanda,Burundi,1220
Afghanistan,Belgium,357
Angola,Belgium,309
Burundi,Belgium,621
Dem. Rep. of the Congo,Belgium,758
Iraq,Belgium,228
Rwanda,Belgium,2094
Somalia,Belgium,187
Viet Nam,Belgium,256
Burundi,Benin,132
Dem. Rep. of the Congo,Benin,811
Nigeria,Benin,229
Rwanda,Benin,576
Myanmar,Bangladesh,22106
Afghanistan,Belarus,454
Angola,Botswana,741
Somalia,Botswana,461
Dem. Rep. of the Congo,Central African Rep.,10220
Rwanda,Central African Rep.,401
Sudan,Central African Rep.,36345
Viet Nam,China,295276
Angola,Congo,3484
Dem. Rep. of the Congo,Congo,6340
Rwanda,Congo,2252
Angola,Dem. Rep. of the Congo,93373
Burundi,Dem. Rep. of the Congo,625
Rwanda,Dem. Rep. of the Congo,1411
Sudan,Dem. Rep. of the Congo,40594
Somalia,Djibouti,20646
Somalia,Eritrea,1743
Sudan,Eritrea,529
Eritrea,Ethiopia,4212
Somalia,Ethiopia,67129
Sudan,Ethiopia,73673
Afghanistan,France,1284
Angola,France,1676
Azerbaijan,France,160
Burundi,France,217
Central African Rep.,France,118
Dem. Rep. of the Congo,France,5542
Iraq,France,1629
Liberia,France,151
Sri Lanka,France,15774
Mali,France,108
Nigeria,France,163
Rwanda,France,1186
Somalia,France,543
Viet Nam,France,11817
Sudan,France,283
Syrian Arab Rep.,France,192
Liberia,Ghana,8865
Liberia,Guinea,55596
Dem. Rep. of the Congo,Cote d'Ivoire,140
Liberia,Cote d'Ivoire,122846
Rwanda,Cote d'Ivoire,287
Afghanistan,India,11972
Myanmar,India,876
Iraq,Indonesia,433
Afghanistan,Iran (Islamic Rep. of),1482000
Iraq,Iran (Islamic Rep. of),386000
Iraq,Jordan,942
Myanmar,Japan,117
Viet Nam,Japan,2284
Burundi,Kenya,487
Dem. Rep. of the Congo,Kenya,1297
Eritrea,Kenya,546
Rwanda,Kenya,3277
Somalia,Kenya,144349
Sudan,Kenya,69804
Afghanistan,Kyrgyzstan,922
Palestinian,Kuwait,831
Iraq,Kuwait,304
Palestinian,Libya,980
Somalia,Libya,1000
Iraq,Lebanon,1828
Somalia,Lebanon,159
Sudan,Lebanon,521
Burundi,Malawi,750
Dem. Rep. of the Congo,Malawi,1478
Rwanda,Malawi,3761
Somalia,Malawi,175
Angola,Namibia,20885
Liberia,Nigeria,1505
Afghanistan,Pakistan,1509034
Iraq,Pakistan,213
Somalia,Pakistan,418
Afghanistan,Romania,139
Iraq,Romania,122
Angola,South Africa,2586
Burundi,South Africa,1439
Dem. Rep. of the Congo,South Africa,4993
Rwanda,South Africa,820
Somalia,South Africa,946
Sudan,South Africa,120
Burundi,Rwanda,1670
Dem. Rep. of the Congo,Rwanda,33064
Afghanistan,Saudi Arabia,149
Iraq,Saudi Arabia,5091
Liberia,Senegal,224
Rwanda,Senegal,307
Eritrea,Sudan,129880
Burundi,Eswatini,152
Dem. Rep. of the Congo,Eswatini,115
Afghanistan,Switzerland,1446
Angola,Switzerland,1882
Burundi,Switzerland,168
Dem. Rep. of the Congo,Switzerland,756
Eritrea,Switzerland,285
Iraq,Switzerland,2575
Sri Lanka,Switzerland,9399
Rwanda,Switzerland,263
Somalia,Switzerland,4377
Viet Nam,Switzerland,2736
Sudan,Switzerland,185
Syrian Arab Rep.,Switzerland,157
