source,target,value
Serbia and Kosovo: S/RES/1244 (1999),Albania,260
Western Sahara,Algeria,155430
Dem. Rep. of the Congo,Angola,11933
Rwanda,Angola,177
Ethiopia,Egypt,102
Palestinian,Egypt,134
Somalia,Egypt,1177
Sudan,Egypt,4659
Yemen,Egypt,628
Stateless,Egypt,130
Azerbaijan,Armenia,264327
Afghanistan,Azerbaijan,243
Dem. Rep. of the Congo,Burundi,26670
Rwanda,Burundi,1220
Afghanistan,Belgium,357
Albania,Belgium,175
Algeria,Belgium,166
Angola,Belgium,309
Burundi,Belgium,621
Bosnia and Herzegovina,Belgium,173
Chile,Belgium,196
Dem. Rep. of the Congo,Belgium,758
Hungary,Belgium,259
Iran (Islamic Rep. of),Belgium,243
Iraq,Belgium,228
Poland,Belgium,751
Rwanda,Belgium,2094
Serbia and Kosovo: S/RES/1244 (1999),Belgium,977
Somalia,Belgium,187
Viet Nam,Belgium,256
Turkey,Belgium,1177
Ukraine,Belgium,188
Burundi,Benin,132
Chad,Benin,427
Congo,Benin,1241
Dem. Rep. of the Congo,Benin,811
Nigeria,Benin,229
Rwanda,Benin,576
Togo,Benin,1182
Myanmar,Bangladesh,22106
Afghanistan,Belarus,454
Peru,Bolivia (Plurinational State of),222
Angola,Botswana,741
Namibia,Botswana,2253
Somalia,Botswana,461
Serbia and Kosovo: S/RES/1244 (1999),Bosnia and Herzegovina,1525
Guatemala,Belize,219
Nicaragua,Belize,100
El Salvador,Belize,734
Chad,Central African Rep.,1860
Congo,Central African Rep.,216
Dem. Rep. of the Congo,Central African Rep.,10220
Rwanda,Central African Rep.,401
Sudan,Central African Rep.,36345
Viet Nam,China,295276
Angola,Congo,3484
Dem. Rep. of the Congo,Congo,6340
Rwanda,Congo,2252
Angola,Dem. Rep. of the Congo,93373
Burundi,Dem. Rep. of the Congo,625
Congo,Dem. Rep. of the Congo,1922
Rwanda,Dem. Rep. of the Congo,1411
Sudan,Dem. Rep. of the Congo,40594
Western Sahara,Cuba,901
Ethiopia,Djibouti,1428
Somalia,Djibouti,20646
Somalia,Eritrea,1743
Sudan,Eritrea,529
Eritrea,Ethiopia,4212
Somalia,Ethiopia,67129
Sudan,Ethiopia,73673
Afghanistan,France,1284
Albania,France,799
Algeria,France,477
Angola,France,1676
Armenia,France,428
Azerbaijan,France,160
Burundi,France,217
Bangladesh,France,711
Bosnia and Herzegovina,France,1341
Bulgaria,France,105
Cambodia,France,16641
Central African Rep.,France,118
Chad,France,323
China,France,527
Chile,France,125
Cameroon,France,116
Congo,France,737
Dem. Rep. of the Congo,France,5542
Colombia,France,253
Ethiopia,France,299
Georgia,France,339
Ghana,France,802
